species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters,locationID,clusterID_num
Aspa,Aspat-876,RRAP_ECT01_2022_Aspat_ONMO_876,-16.887314,146.187,ONMO,-0.2,NA,NA,ONMO_43,308
Aspa,Aspat-877,RRAP_ECT01_2022_Aspat_ONMO_877,-16.887312,146.187022,ONMO,-0.2,NA,NA,ONMO_44,308
Aspa,Aspat-878,RRAP_ECT01_2022_Aspat_ONMO_878,-16.887328,146.187033,ONMO,-0.2,NA,NA,ONMO_41,308
Aspa,Aspat-879,RRAP_ECT01_2022_Aspat_ONMO_879,-16.887334,146.187053,ONMO,-0.1,NA,NA,ONMO_39,308
Aspa,Aspat-880,RRAP_ECT01_2022_Aspat_ONMO_880,-16.887322,146.18706,ONMO,-0.2,NA,NA,ONMO_42,308
Aspa,Aspat-881,RRAP_ECT01_2022_Aspat_ONMO_881,-16.88725,146.187073,ONMO,0.3,NA,NA,ONMO_47,308
Aspa,Aspat-882,RRAP_ECT01_2022_Aspat_ONMO_882,-16.887853,146.186962,ONMO,0.2,NA,NA,ONMO_12,307
Aspa,Aspat-883,RRAP_ECT01_2022_Aspat_ONMO_883,-16.887851,146.18693,ONMO,0.6,NA,NA,ONMO_13,307
Aspa,Aspat-884,RRAP_ECT01_2022_Aspat_ONMO_884,-16.887904,146.186963,ONMO,0.1,NA,NA,ONMO_10,307
Aspa,Aspat-885,RRAP_ECT01_2022_Aspat_ONMO_885,-16.887908,146.186996,ONMO,0.3,NA,NA,ONMO_9,307
Aspa,Aspat-886,RRAP_ECT01_2022_Aspat_ONMO_886,-16.887784,146.186952,ONMO,0.6,NA,NA,ONMO_16,307
Aspa,Aspat-887,RRAP_ECT01_2022_Aspat_ONMO_887,-16.887768,146.186918,ONMO,0.6,NA,NA,ONMO_17,307
Aspa,Aspat-888,RRAP_ECT01_2022_Aspat_ONMO_888,-16.887695,146.186919,ONMO,1.1,NA,NA,ONMO_23,307
Aspa,Aspat-889,RRAP_ECT01_2022_Aspat_ONMO_889,-16.887675,146.186921,ONMO,0.6,NA,NA,ONMO_26,307
Aspa,Aspat-890,RRAP_ECT01_2022_Aspat_ONMO_890,-16.887684,146.186945,ONMO,0.8,NA,NA,ONMO_24,307
Aspa,Aspat-892,RRAP_ECT01_2022_Aspat_ONMO_892,-16.887643,146.186928,ONMO,0.6,NA,NA,ONMO_30,307
Aspa,Aspat-893,RRAP_ECT01_2022_Aspat_ONMO_893,-16.887726,146.186674,ONMO,0.2,NA,NA,ONMO_20,307
Aspa,Aspat-894,RRAP_ECT01_2022_Aspat_ONMO_894,-16.887611,146.186684,ONMO,0,NA,NA,ONMO_31,307
Aspa,Aspat-895,RRAP_ECT01_2022_Aspat_ONMO_895,-16.887427,146.186642,ONMO,-0.1,NA,NA,ONMO_36,307
Aspa,Aspat-896,RRAP_ECT01_2022_Aspat_ONMO_896,-16.88796,146.186712,ONMO,0.1,NA,NA,ONMO_8,306
Aspa,Aspat-897,RRAP_ECT01_2022_Aspat_PAPE_897,-18.558304,146.50286,PAPE,2.9,NA,NA,PAPE_102,341
Aspa,Aspat-898,RRAP_ECT01_2022_Aspat_PAPE_898,-18.558395,146.502826,PAPE,3.1,NA,NA,PAPE_98,341
Aspa,Aspat-899,RRAP_ECT01_2022_Aspat_PAPE_899,-18.558465,146.502773,PAPE,3,NA,NA,PAPE_89,341
