species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters
Aspa,Aspat-483,RRAP_ECT01_2022_Aspat_HICK_483,-14.475075,145.502415,HICK,0.8,NA,NA
Aspa,Aspat-485,RRAP_ECT01_2022_Aspat_HICK_485,-14.475059,145.502503,HICK,1.6,NA,NA
Aspa,Aspat-488,RRAP_ECT01_2022_Aspat_NDIR_488,-14.743046,145.513023,NDIR,-0.2,NA,NA
Aspa,Aspat-491,RRAP_ECT01_2022_Aspat_NDIR_491,-14.743038,145.512998,NDIR,-0.3,NA,NA
Aspa,Aspat-492,RRAP_ECT01_2022_Aspat_NDIR_492,-14.743062,145.512984,NDIR,-0.1,NA,NA
Aspa,Aspat-493,RRAP_ECT01_2022_Aspat_NDIR_493,-14.743056,145.512981,NDIR,-0.2,NA,NA
Aspa,Aspat-495,RRAP_ECT01_2022_Aspat_NDIR_495,-14.74306,145.512942,NDIR,-0.1,NA,NA
Aspa,Aspat-496,RRAP_ECT01_2022_Aspat_NDIR_496,-14.743054,145.512918,NDIR,-0.3,NA,NA
Aspa,Aspat-497,RRAP_ECT01_2022_Aspat_NDIR_497,-14.74305,145.512921,NDIR,-0.3,NA,NA
Aspa,Aspat-498,RRAP_ECT01_2022_Aspat_NDIR_498,-14.743048,145.51292,NDIR,-0.3,NA,NA
Aspa,Aspat-499,RRAP_ECT01_2022_Aspat_NDIR_499,-14.743046,145.512901,NDIR,-0.6,NA,NA
Aspa,Aspat-501,RRAP_ECT01_2022_Aspat_NDIR_501,-14.743037,145.512892,NDIR,-0.6,NA,NA
Aspa,Aspat-502,RRAP_ECT01_2022_Aspat_NDIR_502,-14.743027,145.512894,NDIR,-0.6,NA,NA
Aspa,Aspat-503,RRAP_ECT01_2022_Aspat_NDIR_503,-14.743039,145.512869,NDIR,-0.5,NA,NA
