individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthNote,coordNote,sequenceID,country,cluster,locality,yearCollected,verbatimDepth,associatedTaxa,identificationRemarks,scientificName,lineage
Aspat-799,RRAP_ECT01_2022_Aspat_OCCH_799,-18.669795,147.707243,OCCH,0.1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-799_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-800,RRAP_ECT01_2022_Aspat_OCCH_800,-18.669792,147.707369,OCCH,0.9,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-800_L1,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-801,RRAP_ECT01_2022_Aspat_OCCH_801,-18.669763,147.70738,OCCH,0,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-801_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-802,RRAP_ECT01_2022_Aspat_OCCH_802,-18.669745,147.707357,OCCH,-0.2,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-802_L1,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-803,RRAP_ECT01_2022_Aspat_OCCH_803,-18.669731,147.707334,OCCH,0.4,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-803_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-804,RRAP_ECT01_2022_Aspat_OCCH_804,-18.669861,147.70735,OCCH,0.5,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-804_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-805,RRAP_ECT01_2022_Aspat_OCCH_805,-18.669885,147.707422,OCCH,1.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-805_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-806,RRAP_ECT01_2022_Aspat_OCCH_806,-18.669937,147.707434,OCCH,0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-806_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-956,RRAP_ECT01_2022_Aspat_OCCH_956,-18.669899,147.707242,OCCH,2,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-956_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-987,RRAP_ECT01_2022_Aspat_OCCH_987,-18.670048,147.70725,OCCH,2.5,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-987_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-988,RRAP_ECT01_2022_Aspat_OCCH_988,-18.670031,147.707207,OCCH,2.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-988_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-989,RRAP_ECT01_2022_Aspat_OCCH_989,-18.669977,147.707209,OCCH,2.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-989_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-990,RRAP_ECT01_2022_Aspat_OCCH_990,-18.669958,147.707242,OCCH,0.9,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-990_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-991,RRAP_ECT01_2022_Aspat_OCCH_991,-18.669945,147.707441,OCCH,1.5,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-991_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-992,RRAP_ECT01_2022_Aspat_OCCH_992,-18.669998,147.707449,OCCH,0.9,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-992_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-993,RRAP_ECT01_2022_Aspat_OCCH_993,-18.669986,147.707448,OCCH,0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-993_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-994,RRAP_ECT01_2022_Aspat_OCCH_994,-18.670001,147.707458,OCCH,1.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-994_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-995,RRAP_ECT01_2022_Aspat_OCCH_995,-18.670037,147.707416,OCCH,0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-995_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
