decimalLatitude,decimalLongitude,locationID_short,locationID
-14.47510446,145.5024672,HICK,HICK_23
-14.475097,145.50239,HICK,HICK_24
-14.475095,145.50239,HICK,HICK_25
-14.475094,145.502542,HICK,HICK_26
-14.475091,145.50239,HICK,HICK_27
-14.475091,145.502397,HICK,HICK_28
-14.475091,145.502401,HICK,HICK_29
-14.47508,145.502557,HICK,HICK_30
-14.47508,145.50259,HICK,HICK_31
-14.475075,145.502415,HICK,HICK_32
-14.47507236,145.5024813,HICK,HICK_33
-14.47507144,145.5025827,HICK,HICK_34
-14.47506272,145.5024348,HICK,HICK_35
-14.475059,145.502503,HICK,HICK_36
-14.475055,145.502585,HICK,HICK_37
-14.47505,145.502455,HICK,HICK_38
-14.47505,145.502527,HICK,HICK_39
-14.475049,145.502616,HICK,HICK_40
-14.47504621,145.5025375,HICK,HICK_41
-14.47504512,145.5024632,HICK,HICK_42
-14.475019,145.502648,HICK,HICK_43
-14.4750121,145.5026657,HICK,HICK_44
-14.475007,145.502672,HICK,HICK_45
-14.47499726,145.5026986,HICK,HICK_46
-14.474994,145.502743,HICK,HICK_47
-14.474992,145.502678,HICK,HICK_48
-14.474986,145.502689,HICK,HICK_49
-14.474981,145.502698,HICK,HICK_50
-14.47497,145.502715,HICK,HICK_51
-14.474966,145.502713,HICK,HICK_52
-14.474964,145.502743,HICK,HICK_53
-14.47496147,145.5026533,HICK,HICK_54
-14.47495988,145.5028271,HICK,HICK_55
-14.47495501,145.5027092,HICK,HICK_56
-14.474921,145.50275,HICK,HICK_57
-14.47491143,145.5027752,HICK,HICK_58
-14.47490782,145.5028383,HICK,HICK_59
-14.474907,145.502798,HICK,HICK_60
-14.47490682,145.5027822,HICK,HICK_61
-14.474895,145.502881,HICK,HICK_62
-14.474892,145.502861,HICK,HICK_63
-14.474892,145.502936,HICK,HICK_64
-14.47489,145.502862,HICK,HICK_65
-14.47488913,145.5029149,HICK,HICK_66
-14.474887,145.502864,HICK,HICK_67
-14.47487857,145.5028521,HICK,HICK_68
-14.47487849,145.5029169,HICK,HICK_69
-14.47487832,145.5029119,HICK,HICK_70
-14.47487363,145.5028441,HICK,HICK_71
-14.47487027,145.502861,HICK,HICK_72
-14.474864,145.50289,HICK,HICK_73
-14.47485753,145.5028835,HICK,HICK_74
-14.47485494,145.5028774,HICK,HICK_75
-14.474852,145.502929,HICK,HICK_76
-14.474847,145.502942,HICK,HICK_77
-14.474847,145.502957,HICK,HICK_78
-14.474845,145.502953,HICK,HICK_79
-14.474843,145.502958,HICK,HICK_80
-14.474842,145.502893,HICK,HICK_81
-14.474835,145.502969,HICK,HICK_82
-14.47482811,145.5029254,HICK,HICK_83
-14.474828,145.502991,HICK,HICK_84
-14.47482174,145.5029599,HICK,HICK_85
-14.47482174,145.5029726,HICK,HICK_86
-14.47482023,145.5029319,HICK,HICK_87
-14.474809,145.503184,HICK,HICK_88
-14.4748085,145.5029297,HICK,HICK_89
-14.47480825,145.5029369,HICK,HICK_90
-14.474808,145.50302,HICK,HICK_91
-14.47479819,145.5030107,HICK,HICK_92
-14.47479056,145.5029511,HICK,HICK_93
