individualID,materialSampleID,EcoReefID_short,projECT01ID,scientificName,scientificAbbreviation,identificationRemarks,EcoClusterID,EcoReefID,EcoReefHabitat,EcoZoneID,EcoLocationID_short,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,minimum,maximum,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,decimalLatitude,decimalLongitude,coordNote,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,decimalLatitude_plot,decimalLongitude_plot,EcoPlotID_full,depthOfBottominmeters,depthNote,depthOfColonyinmeters,EcoPlotDepthinmeters.tidecorrected
Ahya_50a,RRAP-ECT01-2021-Ahya-21550-50,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:12,NA,NA,E Howells,20,1,2021,,-21.95452242,152.2971737,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200459,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.2,ECT depth,1.2,NA
Ahya_51a,RRAP-ECT01-2021-Ahya-ECAY-51,ECAY,ECT01,Acropora hyacinthus,Ahya,NA,,East Cay,NA,NA,ECAY,NA,NA,NA,NA,NA,NA,East Cay Reef,16:11,NA,NA,Vmocellin,21,1,2021,,-21.47414323,152.56197,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1210523,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2,ECT depth,~<2,NA
Ahya_45a,RRAP-ECT01-2021-Ahya-ECAY-45_L4,ECAY,ECT01,Acropora hyacinthus,Ahya,NA,,East Cay,NA,NA,ECAY,NA,NA,NA,NA,NA,NA,East Cay Reef,15:59,NA,NA,Vmocellin,21,1,2021,,-21.47393762,152.5611744,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1210515,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2,ECT depth,~<2,NA
Ahya_40a,RRAP-ECT01-2021-Ahya-ECAY-40,ECAY,ECT01,Acropora hyacinthus,Ahya,NA,,East Cay,NA,NA,ECAY,NA,NA,NA,NA,NA,NA,East Cay Reef,15:39,NA,NA,Vmocellin,21,1,2021,,-21.47309214,152.5610289,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1210480,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2,ECT depth,~<2,NA
Ahya_44a,RRAP-ECT01-2021-Ahya-ECAY-44_L2,ECAY,ECT01,Acropora hyacinthus,Ahya,NA,,East Cay,NA,NA,ECAY,NA,NA,NA,NA,NA,NA,East Cay Reef,15:53,NA,NA,Vmocellin,21,1,2021,,-21.47307848,152.5609108,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1210505,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2,ECT depth,~<2,NA
Ahya_43a,RRAP-ECT01-2021-Ahya-ECAY-43,ECAY,ECT01,Acropora hyacinthus,Ahya,NA,,East Cay,NA,NA,ECAY,NA,NA,NA,NA,NA,NA,East Cay Reef,15:50,NA,NA,Vmocellin,21,1,2021,,-21.47306297,152.5609181,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1210496,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2,ECT depth,~<2,NA
Ahya_39a,RRAP-ECT01-2021-Ahya-ECAY-39_L3,ECAY,ECT01,Acropora hyacinthus,Ahya,NA,,East Cay,NA,NA,ECAY,NA,NA,NA,NA,NA,NA,East Cay Reef,15:36,NA,NA,Vmocellin,21,1,2021,,-21.47304855,152.5609273,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1210473,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2,ECT depth,~<2,NA
Ahya_38a,RRAP-ECT01-2021-Ahya-ECAY-38a_L3,ECAY,ECT01,Acropora hyacinthus,Ahya,NA,,East Cay,NA,NA,ECAY,NA,NA,NA,NA,NA,NA,East Cay Reef,15:33,NA,NA,Vmocellin,21,1,2021,,-21.47282342,152.5609202,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1210466,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2,ECT depth,~<2,NA
Ahya_52a,RRAP-ECT01-2021-Ahya-ECAY-52_L2,ECAY,ECT01,Acropora hyacinthus,Ahya,NA,,East Cay,NA,NA,ECAY,NA,NA,NA,NA,NA,NA,East Cay Reef,10:42,NA,NA,Vmocellin,22,1,2021,,-21.4713337,152.5650215,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1220585,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2.5,ECT depth,~2.5-3.5,NA
Ahya_85a,RRAP-ECT01-2021-Ahya-ECAY-85_L2,ECAY,ECT01,Acropora hyacinthus,Ahya,NA,,East Cay,NA,NA,ECAY,NA,NA,NA,NA,NA,NA,East Cay Reef,16:34,NA,NA,Vmocellin,22,1,2021,,-21.47048956,152.5616477,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1220066,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,3,ECT depth,~3,NA
