decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y
-14.74254,145.51203,NDIR,NDIR_140,204,NA,NDIR_2
-14.74254,145.51205,NDIR,NDIR_141,204,NA,NDIR_2
-14.74254,145.51232,NDIR,NDIR_142,204,NA,NDIR_2
-14.74254,145.51234,NDIR,NDIR_143,204,NA,NDIR_2
-14.74253135,145.5121976,NDIR,NDIR_144,204,NA,NDIR_2
-14.74253,145.51235,NDIR,NDIR_145,204,NA,NDIR_2
-14.74252699,145.5126851,NDIR,NDIR_146,204,NA,NDIR_2
-14.74252,145.51215,NDIR,NDIR_147,204,NA,NDIR_2
-14.74252,145.51229,NDIR,NDIR_148,204,NA,NDIR_2
-14.74252,145.51233,NDIR,NDIR_149,204,NA,NDIR_2
-14.74252,145.51236,NDIR,NDIR_150,204,NA,NDIR_2
-14.74251,145.51217,NDIR,NDIR_151,204,NA,NDIR_2
-14.74249765,145.512233,NDIR,NDIR_152,204,NA,NDIR_2
-14.74249,145.51226,NDIR,NDIR_153,204,NA,NDIR_2
-14.74249,145.51227,NDIR,NDIR_154,204,NA,NDIR_2
-14.74249,145.51229,NDIR,NDIR_155,204,NA,NDIR_2
-14.74248357,145.5121037,NDIR,NDIR_156,204,NA,NDIR_2
-14.74248223,145.5123608,NDIR,NDIR_157,204,NA,NDIR_2
-14.74247804,145.5125633,NDIR,NDIR_158,204,NA,NDIR_2
-14.74247,145.51225,NDIR,NDIR_159,204,NA,NDIR_2
-14.74246077,145.5121414,NDIR,NDIR_160,204,NA,NDIR_2
-14.74244,145.51204,NDIR,NDIR_161,204,NA,NDIR_2
-14.74241878,145.5121353,NDIR,NDIR_162,204,NA,NDIR_2
-14.74241233,145.5121828,NDIR,NDIR_163,204,NA,NDIR_2
-14.7424083,145.5121015,NDIR,NDIR_164,204,NA,NDIR_2
-14.74240403,145.5123213,NDIR,NDIR_165,204,NA,NDIR_2
-14.74240378,145.5123154,NDIR,NDIR_166,204,NA,NDIR_2
-14.7424,145.51202,NDIR,NDIR_167,204,NA,NDIR_2
-14.7424,145.51207,NDIR,NDIR_168,204,NA,NDIR_2
-14.74239699,145.5121812,NDIR,NDIR_169,204,NA,NDIR_2
-14.74239355,145.5123996,NDIR,NDIR_170,204,NA,NDIR_2
-14.74239,145.51207,NDIR,NDIR_171,204,NA,NDIR_2
-14.74239,145.51208,NDIR,NDIR_172,204,NA,NDIR_2
-14.74238777,145.5122341,NDIR,NDIR_173,204,NA,NDIR_2
-14.74238726,145.5122819,NDIR,NDIR_174,204,NA,NDIR_2
-14.74238383,145.5120494,NDIR,NDIR_175,204,NA,NDIR_2
-14.74238081,145.5120582,NDIR,NDIR_176,204,NA,NDIR_2
-14.74238,145.51195,NDIR,NDIR_177,204,NA,NDIR_2
-14.74237788,145.5120587,NDIR,NDIR_178,204,NA,NDIR_2
-14.7423653,145.5123142,NDIR,NDIR_179,204,NA,NDIR_2
-14.74236229,145.5122106,NDIR,NDIR_180,204,NA,NDIR_2
-14.74236,145.51193,NDIR,NDIR_181,204,NA,NDIR_2
-14.74235952,145.5123116,NDIR,NDIR_182,204,NA,NDIR_2
-14.74234636,145.5123385,NDIR,NDIR_183,204,NA,NDIR_2
-14.74234208,145.5120157,NDIR,NDIR_184,204,NA,NDIR_2
-14.74232163,145.5115359,NDIR,NDIR_185,205,NA,NDIR_3
-14.74232,145.51176,NDIR,NDIR_186,206,NDIR_4,NDIR_4
-14.74229506,145.5115744,NDIR,NDIR_187,205,NA,NDIR_3
-14.74229179,145.5115843,NDIR,NDIR_188,205,NA,NDIR_3
-14.74227377,145.5114273,NDIR,NDIR_189,205,NA,NDIR_3
-14.74227193,145.5114833,NDIR,NDIR_190,205,NA,NDIR_3
-14.74225734,145.5116133,NDIR,NDIR_191,205,NA,NDIR_3
-14.74225299,145.5115953,NDIR,NDIR_192,205,NA,NDIR_3
-14.7422524,145.51159,NDIR,NDIR_193,205,NA,NDIR_3
-14.74224,145.51166,NDIR,NDIR_194,205,NA,NDIR_3
-14.74223589,145.5113843,NDIR,NDIR_195,205,NA,NDIR_3
-14.74222608,145.5113428,NDIR,NDIR_196,205,NA,NDIR_3
-14.74222289,145.5113193,NDIR,NDIR_197,205,NA,NDIR_3
-14.74222164,145.5113739,NDIR,NDIR_198,205,NA,NDIR_3
-14.74221694,145.511577,NDIR,NDIR_199,205,NA,NDIR_3
-14.74221108,145.5113548,NDIR,NDIR_200,205,NA,NDIR_3
-14.74220982,145.5115903,NDIR,NDIR_201,205,NA,NDIR_3
-14.7422,145.51182,NDIR,NDIR_202,205,NA,NDIR_3
-14.74219649,145.5119117,NDIR,NDIR_203,205,NA,NDIR_3
-14.74219574,145.5113795,NDIR,NDIR_204,205,NA,NDIR_3
-14.74217537,145.5116169,NDIR,NDIR_205,205,NA,NDIR_3
-14.74217,145.51167,NDIR,NDIR_206,205,NA,NDIR_3
-14.7421581,145.5117952,NDIR,NDIR_207,205,NA,NDIR_3
-14.74214729,145.5113578,NDIR,NDIR_208,205,NA,NDIR_3
-14.74214553,145.5116461,NDIR,NDIR_209,205,NA,NDIR_3
-14.74213899,145.511375,NDIR,NDIR_210,205,NA,NDIR_3
-14.74213111,145.5116542,NDIR,NDIR_211,205,NA,NDIR_3
-14.74212214,145.5117554,NDIR,NDIR_212,205,NA,NDIR_3
-14.7421,145.51219,NDIR,NDIR_213,207,NDIR_5,NDIR_5
-14.65159189,145.6392939,NONA,NONA_1,208,NA,NONA_1
-14.65152978,145.6392287,NONA,NONA_2,208,NA,NONA_1
-14.65150497,145.6392085,NONA,NONA_3,208,NA,NONA_1
-14.65150153,145.6390363,NONA,NONA_4,209,NA,NONA_2
-14.65145401,145.6393321,NONA,NONA_5,210,NONA_3,NONA_3
-14.6514442,145.6390163,NONA,NONA_6,209,NA,NONA_2
-14.65125712,145.6393726,NONA,NONA_7,211,NONA_4,NONA_4
-14.6512173,145.6382539,NONA,NONA_8,212,NA,NONA_5
-14.65121202,145.6382453,NONA,NONA_9,212,NA,NONA_5
-14.651201,145.638293,NONA,NONA_10,212,NA,NONA_5
-14.6512,145.638224,NONA,NONA_11,212,NA,NONA_5
-14.65119098,145.6382735,NONA,NONA_12,212,NA,NONA_5
-14.651162,145.638217,NONA,NONA_13,212,NA,NONA_5
-14.651159,145.638351,NONA,NONA_14,212,NA,NONA_5
-14.65115586,145.6383401,NONA,NONA_15,212,NA,NONA_5
-14.65115561,145.6388503,NONA,NONA_16,213,NONA_6,NONA_6
-14.65115394,145.6383015,NONA,NONA_17,212,NA,NONA_5
-14.651146,145.638232,NONA,NONA_18,212,NA,NONA_5
-14.65113918,145.6383907,NONA,NONA_19,212,NA,NONA_5
-14.651131,145.638398,NONA,NONA_20,212,NA,NONA_5
-14.65113013,145.638273,NONA,NONA_21,212,NA,NONA_5
-14.65113,145.63841,NONA,NONA_22,212,NA,NONA_5
-14.65112376,145.6382704,NONA,NONA_23,212,NA,NONA_5
-14.651118,145.638346,NONA,NONA_24,212,NA,NONA_5
-14.651103,145.638376,NONA,NONA_25,212,NA,NONA_5
-14.6511,145.638356,NONA,NONA_26,212,NA,NONA_5
-14.651097,145.638401,NONA,NONA_27,212,NA,NONA_5
-14.651094,145.638389,NONA,NONA_28,212,NA,NONA_5
-14.65108939,145.6382543,NONA,NONA_29,212,NA,NONA_5
-14.651089,145.638403,NONA,NONA_30,212,NA,NONA_5
-14.651079,145.638409,NONA,NONA_31,212,NA,NONA_5
-14.651076,145.638429,NONA,NONA_32,212,NA,NONA_5
-14.651071,145.638462,NONA,NONA_33,212,NA,NONA_5
-14.65106,145.638459,NONA,NONA_34,212,NA,NONA_5
