bam_name,materialSampleID,sequence_comments,sample_name,batch,lane,short_name,individualID,locationID_short,mosdepth,coverage,seq_depth,medianDepth,percentMapped,EcoLocationID,site_code,decimalLatitude,decimalLongitude,colony_depth,EcoPlotDepthinmeters,reef,site,depth_category,zone,plot,colony_depth_m,colony_size_cm,year,habitat,habitat_full,comments_coords,comments_depth,main cluster,parent_cluster,cluster,sub_cluster,lineage_mito,lineage_wgs,comments_haplotypes
RRAP-ECO03-2023-Shys-ONLI-2422_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2422_L4,,RRAP-ECO03-2023-Shys-ONLI-2422,batch2,L4,ONLI-2422,2422,ONLI,11.28,88.99,13.71,6.15,0.9706,ONLI_BA2S,ONLI_BA2S,-14.667503,145.4419725,3,NA,Lizard,NA,5m,Shallow,NA,NA,NA,2023,Back,Back2,ONLI_BA2S_P1,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2433_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2433_L4,,RRAP-ECO03-2023-Shys-ONLI-2433,batch2,L4,ONLI-2433,2433,ONLI,10.27,88.93,12.13,6.31,0.9722,ONLI_BA2S,ONLI_BA2S,-14.667503,145.4419725,3,NA,Lizard,NA,5m,Shallow,NA,NA,NA,2023,Back,Back2,ONLI_BA2S_P1,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2427_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2427_L4,,RRAP-ECO03-2023-Shys-ONLI-2427,batch2,L4,ONLI-2427,2427,ONLI,9.87,89.27,11.8,6.03,0.9742,ONLI_BA2S,ONLI_BA2S,-14.667503,145.4419725,3,NA,Lizard,NA,5m,Shallow,NA,NA,NA,2023,Back,Back2,ONLI_BA2S_P1,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2442_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2442_L4,,RRAP-ECO03-2023-Shys-ONLI-2442,batch2,L4,ONLI-2442,2442,ONLI,11.83,89.19,14.34,7.94,0.9576,ONLI_FL1S,ONLI_FL1S,-14.697944,145.4452925,3,NA,Lizard,NA,5m,Shallow,NA,NA,NA,2023,Flank,Flank1,original coordinates,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1961_L1_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1961_L1,,RRAP-ECO03-2023-Shys-OCDA-1961,batch1,L1,OCDA-1961,1961,OCDA,6.49,87.37,7.92,3.87,0.9772,OCDA_BA1S_P2,OCDA_BA1S,-18.8259,147.62727,3.4,3.4,Davies,Back1,5m,Shallow,Plot2,NA,NA,2023,Back,Back1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1964_L2_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1964_L2,,RRAP-ECO03-2023-Shys-OCDA-1964,batch1,L2,OCDA-1964,1964,OCDA,6.52,87.21,9.66,4.15,0.9786,OCDA_BA1S_P2,OCDA_BA1S,-18.8259,147.62727,3.4,3.4,Davies,Back1,5m,Shallow,Plot2,NA,NA,2023,Back,Back1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2022-Shys-OCDA-BLCH6B_L2_markedRG.bam,RRAP-ECO03-2022-Shys-OCDA-BLCH6B_L2,,RRAP-ECO03-2022-Shys-OCDA-BLCH6B,batch1,L2,OCDA-BLCH6B,BLCH6B,OCDA,7.07,86.99,7.83,5.01,0.9614,OCDA_BA1S_P3,OCDA_BA1S,-18.8259,147.62727,3.2,3.2,Davies,Back1,5m,Shallow,Plot3,NA,NA,2022,Back,Back1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1962_L1_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1962_L1,,RRAP-ECO03-2023-Shys-OCDA-1962,batch1,L1,OCDA-1962,1962,OCDA,6.82,87.13,8.04,4.13,0.971,OCDA_BA1S_P3,OCDA_BA1S,-18.8259,147.62727,3.2,3.2,Davies,Back1,5m,Shallow,Plot3,NA,NA,2023,Back,Back1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1947_L1_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1947_L1,,RRAP-ECO03-2023-Shys-OCDA-1947,batch1,L1,OCDA-1947,1947,OCDA,8.29,88.35,9.93,4.29,0.9723,OCDA_BA1S_P3,OCDA_BA1S,-18.8259,147.62727,3.2,3.2,Davies,Back1,5m,Shallow,Plot3,NA,NA,2023,Back,Back1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-OCDA-1954_L2_markedRG.bam,RRAP-ECO03-2023-Shys-OCDA-1954_L2,,RRAP-ECO03-2023-Shys-OCDA-1954,batch1,L2,OCDA-1954,1954,OCDA,5.83,86.28,7.69,3.45,0.9724,OCDA_BA1S_P4,OCDA_BA1S,-18.8259,147.62727,3.5,3.5,Davies,Back1,5m,Shallow,Plot4,NA,NA,2023,Back,Back1,plot coordinates from AG,NA,3,5,5,5,HostB,HostB,HostB
