individualID,materialSampleID,decimalLatitude,decimalLongitude,coordNote,decimalLatitute_field,decimalLongitude_field,minimumdepthOfBottominmeters,maximumdepthOfBottominmeters,EcoPlotDepthinmeters.tidecorrected,depthOfColonyinmeters,EcoReefID_short,locationID_short,EcoPlotID_full,projectID,scientificName_field,scientificAbbreviation,scientificName_verified,taxonID,identificationRemarks,EcoClusterID,EcoReefID,EcoReefHabitat,EcoZoneID,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,Plot_CoordNote,modifiedBy,modifiedReason,associatedTaxa,associatedReference
RRAP-ECO03-2022-Spis-OCLB-711,Spis-OCLB-711,-18.944062,147.699285,Original metadata entry,-18.944062,147.699285,5,5,4.7,NA,OCLB,OCLB_FL1S,OCLB_FL1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Flank1,Shallow,1,NA,NA,NA,NA,NA,Little Broadhurst,10:00,Zoe Meziere,21,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-717,Spis-OCLB-717,-18.944062,147.699285,Original metadata entry,-18.944062,147.699285,5,5,4.7,NA,OCLB,OCLB_FL1S,OCLB_FL1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Flank1,Shallow,11,NA,NA,NA,NA,NA,Little Broadhurst,10:00,Zoe Meziere,21,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-720,Spis-OCLB-720,-18.944062,147.699285,Original metadata entry,-18.944062,147.699285,5,5,4.7,NA,OCLB,OCLB_FL1S,OCLB_FL1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Flank1,Shallow,9,NA,NA,NA,NA,NA,Little Broadhurst,10:00,Zoe Meziere,21,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-724,Spis-OCLB-724,-18.944062,147.699285,Original metadata entry,-18.944062,147.699285,5,5,4.7,NA,OCLB,OCLB_FL1S,OCLB_FL1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Flank1,Shallow,14,NA,NA,NA,NA,NA,Little Broadhurst,10:00,Zoe Meziere,21,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-725,Spis-OCLB-725,-18.949382,147.701909,Original metadata entry,-18.949382,147.701909,5,5,3.4,NA,OCLB,OCLB_LA1S,OCLB_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Lagoon1,Shallow,5,NA,NA,NA,NA,NA,Little Broadhurst,15:00,Zoe Meziere,21,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-728,Spis-OCLB-728,-18.949382,147.701909,Original metadata entry,-18.949382,147.701909,5,5,3.4,NA,OCLB,OCLB_LA1S,OCLB_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Lagoon1,Shallow,4,NA,NA,NA,NA,NA,Little Broadhurst,15:00,Zoe Meziere,21,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-731,Spis-OCLB-731,-18.949382,147.701909,Original metadata entry,-18.949382,147.701909,5,5,3.4,NA,OCLB,OCLB_LA1S,OCLB_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Lagoon1,Shallow,12,NA,NA,NA,NA,NA,Little Broadhurst,15:00,Zoe Meziere,21,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-734,Spis-OCLB-734,-18.949382,147.701909,Original metadata entry,-18.949382,147.701909,5,5,3.4,NA,OCLB,OCLB_LA1S,OCLB_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Lagoon1,Shallow,10,NA,NA,NA,NA,NA,Little Broadhurst,15:00,Zoe Meziere,21,1,2022,Bleached,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-738,Spis-OCLB-738,-18.949382,147.701909,Original metadata entry,-18.949382,147.701909,5,5,3.4,NA,OCLB,OCLB_LA1S,OCLB_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Lagoon1,Shallow,11,NA,NA,NA,NA,NA,Little Broadhurst,19:00,Zoe Meziere,21,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240111,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-739,Spis-OCLB-739,-18.949382,147.701909,Original metadata entry,-18.949382,147.701909,5,5,3.4,NA,OCLB,OCLB_LA1S,OCLB_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Lagoon1,Shallow,6,NA,NA,NA,NA,NA,Little Broadhurst,20:00,Zoe Meziere,21,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
