vcf_name,sequence_comments,sample_name,batch,lane,short_name,individualID,reef_code,EcoLocationID,site_code,lat,lon,colony_depth,EcoPlotDepthinmeters,reef,site,depth_category,zone,plot,colony_depth_m,colony_size_cm,year,habitat,habitat_full,comments_coords,comments_depth,main cluster,parent_cluster,cluster,sub_cluster,lineage_mito,lineage_wgs,comments_haplotypes
RRAP-ECO03-2023-Shys-CBHE-2680_L2,,RRAP-ECO03-2023-Shys-CBHE-2680,batch1,L2,CBHE-2680,2680,CBHE,CBHE_FR1S_P1,CBHE_FR1S,-23.4720295,151.9775415,6.2,6.2,Heron,Front1,5m,Shallow,Plot1,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2678_L1,,RRAP-ECO03-2023-Shys-CBHE-2678,batch1,L1,CBHE-2678,2678,CBHE,CBHE_FR1S_P1,CBHE_FR1S,-23.4720295,151.9775415,6.2,6.2,Heron,Front1,5m,Shallow,Plot1,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2679_L2,,RRAP-ECO03-2023-Shys-CBHE-2679,batch1,L2,CBHE-2679,2679,CBHE,CBHE_FR1S_P1,CBHE_FR1S,-23.4720295,151.9775415,6.2,6.2,Heron,Front1,5m,Shallow,Plot1,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2673_L2,,RRAP-ECO03-2023-Shys-CBHE-2673,batch1,L2,CBHE-2673,2673,CBHE,CBHE_FR1S_P2,CBHE_FR1S,-23.4719785,151.9776975,6.1,6.1,Heron,Front1,5m,Shallow,Plot2,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2676_L1,,RRAP-ECO03-2023-Shys-CBHE-2676,batch1,L1,CBHE-2676,2676,CBHE,CBHE_FR1S_P2,CBHE_FR1S,-23.4719785,151.9776975,6.1,6.1,Heron,Front1,5m,Shallow,Plot2,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2683_L1,,RRAP-ECO03-2023-Shys-CBHE-2683,batch1,L1,CBHE-2683,2683,CBHE,CBHE_FR1S_P3,CBHE_FR1S,-23.4719215,151.9778785,5.9,5.9,Heron,Front1,5m,Shallow,Plot3,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2691_L2,,RRAP-ECO03-2023-Shys-CBHE-2691,batch1,L2,CBHE-2691,2691,CBHE,CBHE_FR1S_P4,CBHE_FR1S,-23.471902,151.977954,5.7,5.7,Heron,Front1,5m,Shallow,Plot4,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2690_L2,,RRAP-ECO03-2023-Shys-CBHE-2690,batch1,L2,CBHE-2690,2690,CBHE,CBHE_FR1S_P4,CBHE_FR1S,-23.471902,151.977954,5.7,5.7,Heron,Front1,5m,Shallow,Plot4,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2720_L1,,RRAP-ECO03-2023-Shys-CBHE-2720,batch1,L1,CBHE-2720,2720,CBHE,CBHE_FR2S_P2,CBHE_FR2S,-23.47042275,151.9508896,5.3,5.3,Heron,Front2,5m,Shallow,Plot2,NA,NA,2023,Front,Front2,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2723_L3,,RRAP-ECO03-2023-Shys-CBHE-2723,batch1,L3,CBHE-2723,2723,CBHE,CBHE_FR2S_P3,CBHE_FR2S,-23.4704876,151.9510498,5.3,5.3,Heron,Front2,5m,Shallow,Plot3,NA,NA,2023,Front,Front2,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
