decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y,clusterID.x.x,clusterID.y.y,clusterID
-14.474828,145.502991,HICK,HICK_84,34,NA,NA,HICK_3,NA,HICK_1
-14.47482174,145.5029599,HICK,HICK_85,34,NA,NA,HICK_3,NA,HICK_1
-14.47482174,145.5029726,HICK,HICK_86,34,NA,NA,HICK_3,NA,HICK_1
-14.47482023,145.5029319,HICK,HICK_87,34,NA,NA,HICK_3,NA,HICK_1
-14.474809,145.503184,HICK,HICK_88,34,NA,NA,HICK_3,NA,HICK_1
-14.4748085,145.5029297,HICK,HICK_89,34,NA,NA,HICK_3,NA,HICK_1
-14.47480825,145.5029369,HICK,HICK_90,34,NA,NA,HICK_3,NA,HICK_1
-14.474808,145.50302,HICK,HICK_91,34,NA,NA,HICK_3,NA,HICK_1
-14.47479819,145.5030107,HICK,HICK_92,34,NA,NA,HICK_3,NA,HICK_1
-14.47479056,145.5029511,HICK,HICK_93,34,NA,NA,HICK_3,NA,HICK_1
-14.474766,145.503105,HICK,HICK_94,34,NA,NA,HICK_3,NA,HICK_1
-14.474749,145.503085,HICK,HICK_95,34,NA,NA,HICK_3,NA,HICK_1
-14.474748,145.503075,HICK,HICK_96,34,NA,NA,HICK_3,NA,HICK_1
-14.47473994,145.5031248,HICK,HICK_97,34,NA,NA,HICK_3,NA,HICK_1
-14.474723,145.503195,HICK,HICK_98,34,NA,NA,HICK_3,NA,HICK_1
-14.474719,145.503195,HICK,HICK_99,34,NA,NA,HICK_3,NA,HICK_1
-14.474705,145.503209,HICK,HICK_100,34,NA,NA,HICK_3,NA,HICK_1
-14.474696,145.503218,HICK,HICK_101,34,NA,NA,HICK_3,NA,HICK_1
-14.47469308,145.5032102,HICK,HICK_102,34,NA,NA,HICK_3,NA,HICK_1
-14.47467707,145.5032157,HICK,HICK_103,34,NA,NA,HICK_3,NA,HICK_1
-14.474672,145.503206,HICK,HICK_104,34,NA,NA,HICK_3,NA,HICK_1
-14.474653,145.503232,HICK,HICK_105,34,NA,NA,HICK_3,NA,HICK_1
-14.474651,145.5032643,HICK,HICK_106,34,NA,NA,HICK_3,NA,HICK_1
-14.47464027,145.5032676,HICK,HICK_107,34,NA,NA,HICK_3,NA,HICK_1
-14.47463,145.503245,HICK,HICK_108,34,NA,NA,HICK_3,NA,HICK_1
-14.47459,145.503324,HICK,HICK_109,34,NA,NA,HICK_3,NA,HICK_1
-14.47458873,145.503382,HICK,HICK_110,34,NA,NA,HICK_3,NA,HICK_1
-14.47457892,145.5033001,HICK,HICK_111,34,NA,NA,HICK_3,NA,HICK_1
-14.47454514,145.5034852,HICK,HICK_112,34,NA,NA,HICK_3,NA,HICK_1
-14.4745272,145.5033099,HICK,HICK_113,34,NA,NA,HICK_3,NA,HICK_1
-14.474526,145.503397,HICK,HICK_114,34,NA,NA,HICK_3,NA,HICK_1
-14.47449728,145.503495,HICK,HICK_115,34,NA,NA,HICK_3,NA,HICK_1
-14.47448001,145.5033776,HICK,HICK_116,34,NA,NA,HICK_3,NA,HICK_1
-14.47447498,145.5033838,HICK,HICK_117,34,NA,NA,HICK_3,NA,HICK_1
-14.47441405,145.5035837,HICK,HICK_118,34,HICK_4,HICK_4,HICK_4,NA,HICK_1
-14.47438924,145.5034631,HICK,HICK_119,34,HICK_5,HICK_5,HICK_5,NA,HICK_1
-14.47428186,145.5036204,HICK,HICK_120,34,NA,NA,HICK_6,NA,HICK_1
-14.47425638,145.5036686,HICK,HICK_121,34,NA,NA,HICK_6,NA,HICK_1
-14.47423476,145.5037072,HICK,HICK_122,34,NA,NA,HICK_6,NA,HICK_1
-14.47421925,145.5037841,HICK,HICK_123,34,NA,NA,HICK_6,NA,HICK_1
-14.47416351,145.5038628,HICK,HICK_124,34,NA,NA,HICK_6,NA,HICK_1
-14.47413677,145.5038358,HICK,HICK_125,34,NA,NA,HICK_6,NA,HICK_1
