vcf_name,sequence_comments,batch,lane,materialSampleID_full,materialSampleID,individualID,locationID,EcoLocationID,site_code,decimalLatitude,decimalLongitude,coordNote,depthinmeters,depthNote,EcoPlotDepthinmeters,colonyDepthinmeters,reefID,EcoReefHabitat,depth_category,EcoZoneID,EcoPlotID,yearCollected,habitat,habitat_full,lineage_mito,lineage_wgs
RRAP-ECO03-2023-Shys-CBHE-2784_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2784,CBHE-2784,2784,CBHE,CBHE_BA1S_P4,CBHE_BA1S,-23.4284645,151.9522105,plot coordinates from AG,5,NA,5,NA,Heron,Back1,5m,Shallow,Plot4,2023,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2765_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2765,CBHE-2765,2765,CBHE,CBHE_BA2D_P2,CBHE_BA2D,-23.43398,151.920474,plot coordinates from AG,10.5,NA,10.5,NA,Heron,Back2,10m,Deep,Plot2,2023,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2730_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2730,CBHE-2730,2730,CBHE,CBHE_BA2S_P1,CBHE_BA2S,-23.433933,151.9212005,plot coordinates from AG,4.1,NA,4.1,NA,Heron,Back2,5m,Shallow,Plot1,2023,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2745_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2745,CBHE-2745,2745,CBHE,CBHE_BA2S_P4,CBHE_BA2S,-23.4340385,151.920667,plot coordinates from AG,3.9,NA,3.9,NA,Heron,Back2,5m,Shallow,Plot4,2023,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2803_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2803,CBHE-2803,2803,CBHE,CBHE_FL1S_P2,CBHE_FL1S,-23.4561095,151.925544,plot coordinates from AG,3.7,NA,3.7,NA,Heron,Flank1,5m,Shallow,Plot2,2023,Flank,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2663_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2663,CBHE-2663,2663,CBHE,CBHE_FR1D_P3,CBHE_FR1D,-23.472098,151.977937,plot coordinates from AG,11.8,NA,11.8,NA,Heron,Front1,10m,Deep,Plot3,2023,Front,,HostD3,SH3
RRAP-ECO03-2022-Shys-CBHE-1313_L3,,batch1,L3,RRAP-ECO03-2022-Shys-CBHE-1313,CBHE-1313,1313,CBHE,CBHE_FR1D_P3,CBHE_FR1D,-23.472098,151.977937,plot coordinates from AG,11.8,NA,11.8,NA,Heron,Front1,10m,Deep,Plot3,2022,Front,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2710_L3,,batch1,L3,RRAP-ECO03-2023-Shys-CBHE-2710,CBHE-2710,2710,CBHE,CBHE_FR2D_P3,CBHE_FR2D,-23.47086716,151.9512024,plot coordinates from AG,11.6,NA,11.6,NA,Heron,Front2,10m,Deep,Plot3,2023,Front,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2718_L3,,batch1,L3,RRAP-ECO03-2023-Shys-CBHE-2718,CBHE-2718,2718,CBHE,CBHE_FR2D_P4,CBHE_FR2D,-23.4708662,151.9513931,plot coordinates from AG,10.4,NA,10.4,NA,Heron,Front2,10m,Deep,Plot4,2023,Front,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBLM-2617_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBLM-2617,CBLM-2617,2617,CBLM,CBLM_BA2S_P3,CBLM_BA2S,-23.8944175,152.403762,plot coordinates from AG,5.6,NA,5.6,NA,Lady Musgrave,Back2,5m,Shallow,Plot3,2023,Back,,Hap11,SH2
